id,common_name,taxon,warehouse_id,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_author,map,confusion,
83,Weasel's-snout or Lesser Snapdragon, Misopates orontium,878761,F,"Tall, branched plant with a leafy stem, growing up to 60cm. Shiny leaves up to 5cm long are dark-green and narrowly oval in shape. Stalkless asymmetrical flowers are borne in the leaf axis. The petals are deep pink with a slight yellow tinge in the flower tube and resemble those of the garden snapdragon.",Sandy loams.,"Predominantly spring, with some autumn and summer germination",June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Misopates_orontium_LR.jpg,Lliam Rooney,images/Misopates orontium.svg,,images/images/Misopates orontium.svg
84,Mousetail, Myosurus minimus,878762,F,"Low-growing distinctive plant in the buttercup family, growing from 2-15cm. Narrow, linear dark-green leaves form a basal rosette with flowering stems growing from the centre. The flower spikes have short-lived, small green-yellow petals below the seed baring receptacle which elongates forming a long narrowly conical tube resembling a mouse's tail. Mousetail occurs on water-retentive soils in disturbed areas such as tracks and hollows, particularly in gateways.",Clays and other silty soils which are non-calcareous.  ,Autumn,May - June  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Vulnerable   ,images/Myosurus_minimus_CG.jpg,Chris Gibson,images/Myosurus minimus.svg,,images/images/Myosurus minimus.svg
85,Cat-mint, Nepeta cataria,878763,F,"A short mint-like aromatic biennial/perennial plant, covered with a thick grey down. It can grow up to 100cm. Leaves are greyish-green, heart-shaped and toothed. Flowers are white with purplish spots.",Calcareous loams and clays.  ,Autumn,July - September  ,Unknown,Uncropped cultivated plots (biennial),Vulnerable   ,images/Nepeta_cataria_ES.jpg,Emily Swan,images/Nepeta cataria.svg,,images/images/Nepeta cataria.svg
86,Common Broomrape, Orobanche minor,878764,F,"A parasitic plant growing on roots of various plants. The leaves are reduced to scales and the plant has no chlorophyll. Instead the plant is a purplish colour. It consists of a single flower spike with tube-like flowers, with a yellow corolla with purple veins. The corolla has an arched back in a smooth curve and the stigma-lobes can be relatively variable. As this plant is parasitic, it relies on the germination and development of the host plant before it can grow.",All soil types.  ,Spring,June - July  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Orobanche_minor_CS.jpg,Cath Shellswell,images/Orobanche minor.svg,other Orobanche spp.,images/images/Orobanche minor.svg
87,Prickly Poppy, Papaver argemone,878765,F,"Basal rosettes of leaves with stems growing from the centre, up to 50cm. Leaves are pinnately divided with narrow, parallel-sided segments and can appear flattened. Flowering stems can branch at the base but more commonly the main stem is branched each bearing a single flower at the end with four petals. Prickly poppy flowers are up to 5cm across with orange-red petals that persist for a single day. The stamens have bright blue pollen. The elongated, club-shaped seed head is 2-2.5cm long with numerous prickles and a terminal disc.","Predominantly chalky and sandy loams, sometimes calcareous clays.",Spring and Autumn,June - July  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Vulnerable   ,images/Papaver_argemone_ES.jpg,Emily Swan,images/Papaver argemone.svg,,images/images/Papaver argemone.svg
88,Babington’s Poppy or  Yellow-juiced Poppy, Papaver lecoqii,878767,F,"Basal rosette of leaves with branched stems growing from the centre, up to 60cm. Leaves are pinnately divided into broad, spear-shaped segments, and are coloured blue-green. The pinkish-red flowers are 5cm across with four unblotched petals. The seed capsule is elongated without prickles, similar to long-headed poppy Papaver dubium. The distinguishing characteristic is the latex which turns yellow on contact with air.",Heavy calcareous loams and clays.,Spring and Autumn,June - July  ,Long-lived, Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Lolium_temulentum.jpg,Julia Kruse,images/Papaver dubium ssp lecoqii.svg,,images/images/Papaver dubium ssp lecoqii.svg
89,Rough Poppy, Papaver hybridum,878766,F,"Basal rosettes of leaves with stems growing from the centre, up to 50cm. Leaves are pinnately divided with narrow, parallel-sided segments and can appear flattened. Flowering stems can branch at the base but more commonly the main stem is branched each bearing a single flower at the end with four petals. Rough poppy flowers are up to 5cm across with scarlet petals that have black blotches at their base. The stamens have deep blue pollen. The spherical seed head is 1-1.5cm in diameter with numerous upward pointing prickles and a terminal disc.","Predominantly chalky and sandy loams, sometimes calcareous clays.",Spring and Autumn,June - July  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Papaver_hybridum_LR.jpg,Lliam Rooney,images/Papaver hybridum.svg,,images/images/Papaver hybridum.svg
90,Corn Parsley, Petroselinum segetum,878768,F,"A member of the carrot family that can grow up to 80cm tall. The dark green basal leaves are comprised of a series of opposite spear-shaped, blunt-toothed leaflets with a terminal leaf segment. The small, white-petalled flowers are present on umbels held up on tall, fine, flowering stems. There may be 3-5 rays of unequally stalked flowers in each umbel array. The whole plant smells of parsley. This plant can be confused for stone parsley Sison amomum which has an unpleasant petrol smell and tends to grow in damp soils.",Calcareous clays and loams.,Autumn,August - September  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Petroselinum_segetum_CS.jpg,Cath Shellswell,images/Petroselinum segetum.svg,,images/images/Petroselinum segetum.svg
91,Four-leaved Allseed, Polycarpon tetraphyllum,878769,F,"Low-growing branched plant, up to 15cm. The oval leaves are broader closer to the tip than at the base. The lower leaves look like they are arranged in whorls up the stem. The small, 2-3mm across, flowers have very short petals, 1mm long, that are shorter than the green sepals. The flowers are clustered at the end of the stem. The best location to find four-leaved allseed is on the Isles of Scilly, but there are populations in southwest and southern England.","Sandy, or occasionally stony, soils.",Autumn and Spring,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/>  Unsprayed root crops (bulb fields)<br/> Greening fallow land,Nationally Scarce   ,images/Polycarpon_tetraphyllum_PS.jpg,Pete Stroh,images/Polycarpon tetraphyllum.svg,,images/images/Polycarpon tetraphyllum.svg
92,Northern Knotgrass, Polygonum boreale,878770,,"Low-growing spreading plant with branched stems up to 30cm. Obovate leaves. All leaves have papery white sheaths (ochreae) at their base approximately 10mm long forming a tube around the stem. Singly or paired pinkish petalled flowers are borne in leaf axils. The distinctive fruits are greater than 3mm. This knotgrass is the commonest species present on Orkney and Shetland, but can be confused for other similar knotgrasses.","Sandy soils, calcareous loams and clays.",Spring,July - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Nationally Scarce   ,images/unknown.jpg,,images/Polygonum boreale.svg,,images/images/Polygonum boreale.svg
93,Cornfield knotgrass Canclwm y tir âr, Polygonum rurivagum ,878771,F,Low-growing spreading plant with branched stems up to 30cm. Leaves are long 15-35mm and narrow 2-4mm with acute tips resembling grass leaves. All leaves have papery white sheaths (ochreae) at their base approximately 10mm long forming a tube around the stem. Singly or paired pinkish petalled flowers are borne in leaf axils. The distinctive fruits are 2.5-4.5mm with three concave sides and project from the flower. Cornfield knotgrass is under-recorded due to difficulties in distinguishing it from other knotgrasses.,"Sandy soils, calcareous loams and clays.",Spring,July - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern   ,images/Polygonum_rurivagum_CG.jpg,Chris Gibson,images/Polygonum rurivagum.svg,,images/images/Polygonum rurivagum.svg
94,Corn buttercup, Ranunculus arvensis,878772,F,"Branched plant, up to 50cm. Stalked, 3-5 lobed deeply-divided leaves are more elongated and linear than the leaves of common grassland buttercups. Typical but smaller, pale lemon-yellow buttercup flowers up to 12mm in diameter. Distinctive seeds up to 8mm in length, ovate and covered in spines up to 2mm in length. The increased use of broad-spectrum herbicides, increased nitrogen applications and more competitive nitrogen-demanding crops have caused the decline in corn buttercup.",Heavy clay soils.,Autumn and winter,May - mid-June  ,Short-lived seed unless deeply-buried where it may survive dormant for longer,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Critically Endangered   ,images/Ranunculus_arvensis_CS.jpg,Cath Shellswell,images/Ranunculus arvensis.svg,,images/images/Ranunculus arvensis.svg
95,Rough-fruited Buttercup, Ranunculus muricatus,878773,F,"Branched plant, up to 50cm. The lower leaves are long-stalked and divided into 3-5 lobes. The stalks of the higher leaves have shorter stalks and fewer lobes. The yellow, 5-petalled flowers, are up to 15cm across and are slightly longer than the green sepals. The distinctive seeds are 7-8mm long, with a hooked beak at the tip, and covered in long hard spines with one spine-free edge. Rough-fruited buttercup is only present on the Isles of Scilly.",Sandy loams.,Unknown (thought to be autumn),June - July  ,Short-lived,Uncropped cultivated plots (annual)<br/>  Unsprayed root crops (bulb fields)<br/> Greening fallow land,Near Threatened   ,images/Ranunculus_muricatus_Crete_CG.jpg,Chris Gibson,images/Ranunculus muricatus.svg,,images/images/Ranunculus muricatus.svg
96,Small-flowered buttercup, Ranunculus parviflorus,878774,F,"A spreading plant, up to 40cm long. Yellowish-green coloured leaves, rounded in shape, and shallowly divided into toothed lobes. The small, pale yellow petals are 3mm long with hairy green sepals bent back towards the stem (similar to bulbous buttercup Ranunculus bulbosus). Distinctive seeds about 2.5-3mm long with a short, hooked beak at the tip, and covered in short hooks.","Sandy loams, Calcareous and neutral clay loams.",Autumn,May - July  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Unsprayed root crops (bulb fields)<br/> Greening fallow land,Least Concern   ,images/Ranunculus_parviflorus_CS.jpg,Cath Shellswell,images/Ranunculus parviflorus.svg,,images/images/Ranunculus parviflorus.svg
97,Hairy Buttercup, Ranunculus sardous,878775,F,"A mid-height branched plant, up to 30cm. The basal rosette leaves are hairy and divided into three main lobes, with a stalked central leaflet. The upper leaves are also hairy, but are less deeply lobed and have shorter stalks. The flowers are borne on hairy stems. They are pale yellow, 12-25mm across and the sepals are bent back towards the stem when the flowers open (similar to the more common bulbous buttercup Ranunculus bulbosus). The round seeds are 2-3mm and lack spines but could have a few warts.","Seasonally wet, sandy clays.",Autumn,June - October  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Least Concern  ,images/Ranunculus_sardous_2_CG.jpg,Chris Gibson,images/Ranunculus sardous.svg,Ranunculus bulbosus,images/images/Ranunculus sardous.svg
98,Wild Radish, Raphanus raphanistrum subsp. Raphanistrum,878776,F,"Bristly annual member of the cabbage family. The leaves are lyre-shaped and deeply lobed. The flowers have four large petals that are yellow or white and usually have deeper coloured visible veins. The fruits have 3-8 weakly-ribbed, bead-like joints which easily break apart when ripe and the tip of the fruit is five times the length of the top fruit joints.",All soil types.,Spring,May - September  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Raphanus_raphanistrum_CS.jpg,Cath Shellswell,images/Raphanus raphanistrum subsp Raphanistrum.svg,important to mention that flowers can be white mauve or yellow!,images/images/Raphanus raphanistrum subsp Raphanistrum.svg
99,Greater Hay-rattle, Rhinanthus angustifolius,878777,F,"Very similar to yellow rattle Rhinanthus minor, but more robust and branched growing up to 50cm. Leaves are linear, toothed and unstalked. It has asymmetrical yellow flowers with the tube curved upwards (rather than straight in yellow rattle). The two violet teeth are 1-2mm long and the stigma protrudes.  Its name comes from the ripe fruit rattling in the inflated sepals.",Light loams.,Autumn,June - July  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Rhinanthus_angustifolius_1_CG.jpg,Chris Gibson,images/Rhinanthus angustifolius.svg,Rhinanthus minor (grassland species),images/images/Rhinanthus angustifolius.svg
100,Shepherd's-needle, Scandix pecten-veneris,878778,F,"Tall, occasionally branched plant up to 60cm, typical of the carrot family. Finely divided leaves with narrow parallel-sided segments. Flowers are clustered on umbels at the end of the flowering stem and have small white petals. The distinctive fruits begin to form shortly after flowering, elongating from the base of the flower to form long 'needles' up to 5cm. Shepherd's-needle was once a problem weed and is resistant to some herbicides.",Heavy clay loams.,"Predominantly autumn, occasionally germinating in the spring",April - July  ,Very short-lived (less than 5 years),Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Critically Endangered   ,images/Scandix_pecten-veneris_1_CG.jpg,Chris Gibson,images/Scandix pecten-veneris.svg,,images/images/Scandix pecten-veneris.svg
101,Annual knawel Dinodd Flynyddol, Scleranthus annuus,878779,F,"Low-growing, spreading mat-forming plant up to 20cm. Linear pointed leaves are paired up the stem. Clusters of minute flowers, 4mm across, are located at the stem terminals and have no petals. The sepals form the flower tube and are pointed, straight, grey-green with narrow white margins and enclose the stamens and ovary. Annual knawel is commonly found on disturbed grassland as well as arable land, but does not compete will within dense swards or cereal crops.","Dry sandy and gravelly soils, clay loams and chalky loams.  ",Autumn,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Scleranthus_annuus_MW.jpg,Markus Wagner,images/Scleranthus annuus.svg,,images/images/Scleranthus annuus.svg
102,Field Madder, Sherardia arvensis,878780,F,"Low growing, mat forming plant. Leaves with prickly edges in whorls of 4-6 round the stem. Pale purple-pink, 2-3mm in diameter, funnel-shaped flowers are arranged in dense clusters of 4-10 flowers at the end of the stems and in leaf axils. ",All soil types.  ,Autumn and spring,May - September  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Sherardia_arvensis_ES.jpg,Emily Swan,images/Sherardia arvensis.svg,,images/images/Sherardia arvensis.svg
103,Small-flowering Catchfly, Silene gallica,878781,F,"Branched, sticky-haired plant, up to 30cm. A basal rosette of narrowly-oval leaves die back as the stem grows with smaller narrow leaves on the stem. White, or occasionally pink, small five-petalled flowers are 1.5cm across and each petal has a short notch. Behind the flower are oval seed capsules, approximately 1cm long. Small-flowered catchfly was widespread, but it is poorly competitive with modern crop varieties and susceptible to a wide range of herbicides. It's remaining sites are generally coastal in south-west England and Wales.  ",Sands and sandy loams.,Spring and autumn,June - October  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Silene_gallica_LR.jpg,Lliam Rooney,images/Silene gallica.svg,other Silene spp.?,images/images/Silene gallica.svg
104,Night-flowering Catchfly, Silene noctiflora,878782,F,"Branched, sticky-haired plant, up to 50cm. A basal rosette of 5-10cm long elliptical leaves dies back as the stem grows with smaller, up to 8cm, narrow leaves. White-pink five-petalled flowers are 2cm across. They are coloured creamy-yellow on the back. Each petal is deeply divided into two. The flowers are tightly-rolled by mid-morning and open in the early evening for pollination by nocturnal flying insects. Behind the flower are oval seed capsules, approximately 1.5mm long.",Calcareous and sandy loams.,Predominantly spring,July - September  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Vulnerable   ,images/Silene_noctiflora_CS.jpg,Cath Shellswell,images/Silene noctiflora.svg,other Silene spp.?,images/images/Silene noctiflora.svg
105,White Mustard, Sinapis alba,878783,F,"Tall annual that is part of the cabbage family. All of the leaves are pinnately lobed (compared with charlock Sinapis arvensis which has upper spear-shaped unlobed leaves). The stem is roughtly hairly and the yellow flowers have four petals that do not have apparent veins. The beak (tip) of the fruit is flat and sabre-like, and as long or longer than the lower two-valved part with the seeds.",All soil types.  ,Autumn and spring,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Sinapis_alba_12867_CG.jpg,Chris Gibson,images/Sinapis alba.svg,,images/images/Sinapis alba.svg
106,Corn spurrey, Spergula arvensis,878784,F,"Slender scrambling plant with branched stems, up to 60cm. Long, 3cm narrow thread-like leaves are arranged in whorls up the stem. Loosely branched clusters of five-petalled white flowers 8mm in diameter, are present at the end of stems. Black round seeds are approximately 1.5mm in diameter.","Sandy and gravelly soils, but can occur on clays and in chalky soils.","Predominantly spring, with some autumn germination",June - August  ,Short-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Spergula_arvensis_MW.jpg,Markus Wagner,images/Spergula arvensis.svg,,images/images/Spergula arvensis.svg
107,Field Woundwort, Stachys arvensis,878785,F,"Hairy, spreading plant with branched stems from the base, growing to more than 20cm. Opposite paired oval-heart-shaped hairy leaves have short stalks. Asymmetrical pale purple flowers, with a large lower lip and three smaller lobes, up to 7mm long, are arranged in whorls of up to 6 flowers in leaf axils. Field woundwort has an unpleasant smell when bruised.",Sandy and clay loams.,Spring,April - November  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Near Threatened   ,images/Stachys_arvensis_CS.jpg,Cath Shellswell,images/Stachys arvensis.svg,,images/images/Stachys arvensis.svg
108,Cut-leaved Germander, Teucrium botrys,878786,F,"A member of the mint family, with a much-branched, erect, leafy stem. It can grow up to 30cm, and the whole plant is hairy. Leaves are long, 2.5cm, oval, and deeply divided into parallel sided segments. Pinkish-red flowers have very small upper lips, and a long lower lip. They are arranged in whorls in the axils of the leaves. Cut-leaved germander has always been rare and is only known from six locations in Surrey, Kent, Hampshire and Gloucestershire. It is a very poor competitor and does not grow well within modern cereal varieties.",Thin soils over chalk and limestone.,Unknown,July - September  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Teucrium_botrys_1_CG.jpg,Chris Gibson,images/Teucrium botrys.svg,,images/images/Teucrium botrys.svg
109,Spreading Hedge-parsley, Torilis arvensis,878787,F,"An annual member of the carrot family, up to 50cm tall. It has with greyish-green pointed leaves, covered in short bristles, giving a frosted appearance. White or pinkish flowers are borne in dense, compound heads. The characteristic fruit are covered with numerous hooked spines (4-6mm long). Spreading hedge-parsley was once widespread, but due to being a poor competitor with modern crop varieties, and changes in agriculture to harvesting and cultivating prior to the late fruiting plant setting-seed, it has declined dramatically. It now occurs at isolated sites from Devon to Suffolk and is most frequent in Somerset and East Anglia.  ",Neutral and calcareous clay loams.,Autumn,July - August  ,Very short-lived (less than five years),Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Endangered   ,images/Torilis_arvensis_MW.jpg,,images/Torilis arvensis.svg,,images/images/Torilis arvensis.svg
110,Knotted Hedge-parsley, Torilis nodosa,878788,F,"A spreading member of the carrot family that can grow up to 50cm in length. The triangular shaped leaves are very deeply lobed, giving them a feathery appearance. The small, pinkish-white flowers, about 1mm in diameter, are arranged in dense, stalkless, clusters along the stem, opposite leaves. The seeds are oval 2.5-3.5mm in diameter with long or short un-hooked spines.",Calcareous clay loams and sometimes lighter calcareous soils.,Autumn,May - July  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern    ,images/Torilis_nodosa_CS.jpg,Cath Shellswell,images/Torilis nodosa.svg,,images/images/Torilis nodosa.svg
111,Narrow-fruited Cornsalad, Valerianella dentata,878789,F,"Slender, branched plant with stems up to 30cm. Spear-shaped leaves with a few teeth are present up the hairless stem and the white - pale-pink flowers are borne in clusters at the end of the stem on a couple of branches. There is often a single flower located in the base of the stem branch immediately below the flower clusters which is the first to flower and set fruit. The seeds are the distinguishing characteristic but there is a degree of uncertainty surrounding inter-breeding, particularly with hairy-fruited cornsalad Valerianella eriocarpa. Narrow-fruited cornsalad seeds have a single large tooth at the apex with smaller sub-teeth. They are not swollen and are approximately 0.75mm across.","Calcareous sandy, clay and chalky loams.",Spring and Autumn,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Endangered   ,images/Valerianella_dentata_CS.jpg,Cath Shellswell,images/Valerianella dentata.svg,other Valerianella spp.,images/images/Valerianella dentata.svg
112,Hairy-fruited Cornsalad, Valerianella eriocarpa,878790,F,"Slender, branched plants with stems up to 30cm. Spear-shaped leaves with a few teeth are present up the hairless stem and the white to pale-pink flowers are borne in clusters at the end of the stem on a couple of branches. There is often a single flower located in the base of the stem branch immediately below the flower clusters which is the first to flower and set fruit. The seeds are the distinguishing characteristic but there is a degree of uncertainty surrounding inter-breeding, particularly with narrow-fruited cornsalad Valerianella dentata. Hairy-fruited cornsalad seeds have 5-6 large teeth at the apex resembling a crown and the body of the fruit has small hairs visible using a x30 hand lens. It grows on coastal cliffs along the south coast fo England as well as arable field margins.","Calcareous sandy, clay and chalky loams.",Spring and Autumn,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Near Threatened   ,images/Valerianella_eriocarpa_CS.jpg,Cath Shellswell,images/Valerianella eriocarpa.svg,other Valerianella spp.,images/images/Valerianella eriocarpa.svg
113,Broad-fruited cornsalad, Valerianella rimosa,878791,F,"Slender, branched plants with stems up to 30cm. Spear-shaped leaves with a few teeth are present up the hairless stem and the white to pale-pink flowers are borne in clusters at the end of the stem on a couple of branches. There is often a single flower located in the base of the stem branch immediately below the flower clusters which is the first to flower and set fruit. The seeds are the distinguishing characteristic. Broad-fruited cornsalad seeds are grape-pip like and swollen 2mm long by 1.5mm wide. All of the teeth are short at the apex of the fruit.","Calcareous sandy, clay and chalky loams.",Spring and Autumn,June - August  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Endangered   ,images/Valerianella_rimosa_CS.jpg,Cath Shellswell,images/Valerianella rimosa.svg,other Valerianella spp.,images/images/Valerianella rimosa.svg
114,Green Field-speedwell, Veronica agrestis,878792,F,"Sprawling plant with branched, softly hairy stems. Green, oval leaves have toothed edges, and are slightly longer than wide (5-15mm wide). The solitary, 5mm across, pale blue and white centred flowers, are on stalks growing from the leaf axils. The fruit capsule is bi-lobed giving it a heart shape, wider 4-6mm than long 3-4mm. The hairs on the fruit capsule are visible using an x30 hand lens and all of the are glandular (with a spot of oil at the end).",Neutral and sandy acid soils. Usually not found on calcareous soils.,Spring,June - November  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Veronica_agrestis.jpg,"Malcolm Storey, bioimages.org.uk",images/Veronica agrestis.svg,"Veronica persica, Veronica polita",images/images/Veronica agrestis.svg
115,Grey Field-speedwell, Veronica polita,878793,F,"Sprawling, many-branched plant, sometimes forming extensive mats. The lower dull, greyish-green leaves are oval in shape with small teeth. The upper leaves may not have teeth. They are 5-15mm wide. The bright blue white-centred flowers are on stalks originating from the leaf axils. The lower petal is occasionally paler. The bi-lobed fruit capsule looks heart shaped, and is wider 4-6mm than longer 3-4mm. The hairs on the fruit capsule are visible using an x30 hand lens and are a mixture of glandular (with a spot of oil at the end) and short curled hairs.","Well drained soils, often calcareous.",Spring,June - November  ,Long-lived,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Veronica_polita_ES.jpg,Emily Swan,images/Veronica polita.svg,"Veronica agrestis, Veronica persica",images/images/Veronica polita.svg
116,Breckland Speedwell, Veronica praecox,878794,F,"Highly localised Breckland species with one outlying population in Oxfordshire. It has erect, sometimes branched, flowering stems, up to 20cm. The leaves are toothed but not deeply divided. Flowers are small, 3mm in diameter, and coloured light blue with dark streaks. They are present on long stalks, originating from the leaf-like bracts at the top of the stem. The bi-lobed fruit is heart shaped, and longer than wide.",Calcareous sands.,Autumn,March - May  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Near Threatened   ,images/Veronica_praecox_ES_2.jpg,Emily Swan,images/Veronica praecox.svg,,images/images/Veronica praecox.svg
117,Fingered Speedwell, Veronica triphyllos,878795,F,"Low-growing, erect, occasionally branched plant, up to 15cm. Leaves up to 1cm long and deeply divided into 3-7 parallel-fingered lobes. Upper leaves are stalkless, lower leaves have short stalks. Deep blue flowers are borne in the axils of the upper leaf-like bracts and are shorter than the surrounding calyx. The fruit capsule is deeply bi-lobed, making it heart shaped, and about 6-7mm long. Fingered speedwell is restricted to Breckland and Yorkshire.",Sands.,Autumn,March - May  ,Unknown,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Veronica_triphyllos_ES.jpg,Emily Swan,images/Veronica triphyllos.svg,,images/images/Veronica triphyllos.svg
118,Spring Speedwell, Veronica verna,878796,F,"Erect, sometimes branched stem, up to 15cm. The leaves are pinnetely-lobed with 5-7 segments. Sky blue flowers are very small, 2-3mm in diameter, and are borne in the axils of leaf-like bracts. The fruit capsule is wider than long, and bi-lobed making it heart shaped. Spring speedwell is a highly localised Breckland species.","Sands, often calcareous.",Autumn,May - September  ,Long-lived,Uncropped cultivated plots (annual)<br/> Greening fallow land,Endangered   ,images/Veronica_verna_ES_4.jpg,Emily Swan,images/Veronica verna.svg,,images/images/Veronica verna.svg
119,Slender Tare, Vicia parviflora,878797,F,"Scrambling annual, up to 60cm. Leaves are divided into 2-5 pairs of leaflets, each up to 2.5cm long. Flowers are pale purple and 6-8mm long, borne on long stalks. Each flower gives rise to a 5-8 seeded pod about 3mm wide. The seed scars (where the seed attaches to the pod) are 2 times as long as wide. Slender tare occurs in the South Midlands, Somerset, Dorset, Oxfordshire and Essex, and has become much rarer recently.  ",Calcareous clay loams and rarely on chalk.,Autumn,June - August  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Vulnerable   ,images/Vicia_parviflora_Menorca_CG.jpg,Chris Gibson,images/Vicia parviflora.svg,"Vicia hirsuta, Vicia tetrasperma",images/images/Vicia parviflora.svg
120,Smooth Tare, Vicia tetrasperma,878798,F,"Hairless annual plant with think leaves 10-20mm long with 3-6 pairs of leaflets. The calyx teeth at the base of the mauve-whitish flowers are unequal, with the upper two teeth shorter than the calyx-tube.The seed pod is oblong, hairless, 12-15mm long and has four seeds. The seed scars (where the seed attaches to the pod) is only slightly longer than wide.",Calcareous and neutral clay loams.,Autumn,May - August  ,Unknown,Uncropped cultivated plots (annual)<br/>  Cereal headland<br/>  Unsprayed cereals<br/>  Unsprayed root crops<br/>  Wildlife cover  <br/> Greening fallow land,Least Concern   ,images/Vicia_tetrasperma_1_CG.jpg,Chris Gibson,images/Vicia tetrasperma.svg,"Vicia hirsuta, Vicia parviflora",images/images/Vicia tetrasperma.svg
